,genres,norm_per_year,production_companies,total_films,year
7588,Western,0.0,Relativity Media,0,1967
7589,Western,0.0,Touchstone Pictures,0,1967
7580,Western,0.0,Twentieth Century Fox Film Corporation,0,1967
7587,Western,0.0,Universal Pictures,0,1967
7581,Western,0.0,Walt Disney Pictures,0,1967
7583,Western,0.0,Warner Bros.,0,1967
7052,Action,0.0,Columbia Pictures,0,1968
7056,Action,0.0,Metro-Goldwyn-Mayer (MGM),0,1968
7055,Action,0.0,New Line Cinema,0,1968
7054,Action,0.0,Paramount Pictures,0,1968
7058,Action,0.0,Relativity Media,0,1968
7059,Action,0.0,Touchstone Pictures,0,1968
7050,Action,0.0,Twentieth Century Fox Film Corporation,0,1968
7057,Action,0.0,Universal Pictures,0,1968
7051,Action,0.0,Walt Disney Pictures,0,1968
7053,Action,0.0,Warner Bros.,0,1968
7062,Adventure,0.0,Columbia Pictures,0,1968
14,Adventure,1.0,Metro-Goldwyn-Mayer (MGM),1,1968
7065,Adventure,0.0,New Line Cinema,0,1968
7064,Adventure,0.0,Paramount Pictures,0,1968
7068,Adventure,0.0,Relativity Media,0,1968
7069,Adventure,0.0,Touchstone Pictures,0,1968
7060,Adventure,0.0,Twentieth Century Fox Film Corporation,0,1968
7067,Adventure,0.0,Universal Pictures,0,1968
7061,Adventure,0.0,Walt Disney Pictures,0,1968
7063,Adventure,0.0,Warner Bros.,0,1968
7152,Comedy,0.0,Columbia Pictures,0,1968
7156,Comedy,0.0,Metro-Goldwyn-Mayer (MGM),0,1968
7155,Comedy,0.0,New Line Cinema,0,1968
7154,Comedy,0.0,Paramount Pictures,0,1968
7158,Comedy,0.0,Relativity Media,0,1968
7159,Comedy,0.0,Touchstone Pictures,0,1968
7150,Comedy,0.0,Twentieth Century Fox Film Corporation,0,1968
7157,Comedy,0.0,Universal Pictures,0,1968
7151,Comedy,0.0,Walt Disney Pictures,0,1968
7153,Comedy,0.0,Warner Bros.,0,1968
7092,Crime,0.0,Columbia Pictures,0,1968
7096,Crime,0.0,Metro-Goldwyn-Mayer (MGM),0,1968
7095,Crime,0.0,New Line Cinema,0,1968
7094,Crime,0.0,Paramount Pictures,0,1968
7098,Crime,0.0,Relativity Media,0,1968
7099,Crime,0.0,Touchstone Pictures,0,1968
7090,Crime,0.0,Twentieth Century Fox Film Corporation,0,1968
7097,Crime,0.0,Universal Pictures,0,1968
7091,Crime,0.0,Walt Disney Pictures,0,1968
7093,Crime,0.0,Warner Bros.,0,1968
